t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.689720,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.1
50,0.039305,0.275699,0.838435,6,15.7003,28.7924,1430,0.1280,0.1259,0.9
56,0.038801,0.268393,0.843537,6,15.7480,28.9310,74,1.0000,1.0000,1.0
62,0.038864,0.261023,0.847506,7,14.6141,29.1719,66,1.0000,1.0000,1.1
69,0.034769,0.254283,0.859410,7,14.7164,29.4279,73,1.0000,1.0000,1.2
77,0.032880,0.246725,0.858277,6,15.8850,29.4788,58,1.0000,1.0000,1.3
86,0.032754,0.241056,0.859977,6,15.9007,29.4958,63,1.0000,1.0000,1.4
96,0.030675,0.234631,0.878118,5,17.6011,29.8831,80,1.0000,1.0000,1.6
107,0.027904,0.229088,0.874717,5,17.5670,30.0998,58,1.0000,1.0000,1.7
119,0.026707,0.222411,0.890023,4,19.8116,30.1662,82,1.0000,1.0000,1.9
133,0.025195,0.216490,0.889456,4,19.8053,30.3150,62,1.0000,1.0000,2.0
148,0.023180,0.211388,0.896259,4,19.8809,30.7571,72,1.0000,1.0000,2.2
165,0.022613,0.205467,0.903628,4,19.9625,30.9839,71,1.0000,1.0000,2.4
184,0.021416,0.201436,0.912132,3,23.1589,31.1448,81,1.0000,1.0000,2.6
206,0.020093,0.195263,0.921202,3,23.2737,31.2410,65,1.0000,1.0000,2.9
230,0.019904,0.189972,0.925170,3,23.3238,31.4325,56,1.0000,1.0000,3.2
257,0.017133,0.184051,0.916667,3,23.2164,31.5436,51,1.0000,1.0000,3.5
287,0.016314,0.178068,0.928571,3,23.3666,31.8591,66,1.0000,1.0000,3.8
321,0.014928,0.172777,0.930272,3,23.3880,31.9061,51,1.0000,1.0000,4.1
359,0.014991,0.167674,0.935374,2,28.7228,31.9218,54,1.0000,1.0000,4.5
402,0.013102,0.164399,0.937075,2,28.7489,31.9531,56,1.0000,1.0000,5.0
450,0.013479,0.159675,0.947846,2,28.9137,32.1559,57,1.0000,1.0000,5.5
504,0.011653,0.155329,0.948980,2,28.9310,32.2335,47,1.0000,1.0000,6.0
564,0.013039,0.151109,0.946145,2,28.8877,32.1092,45,1.0000,1.0000,6.6
631,0.011338,0.147770,0.952948,2,28.9914,32.3110,58,1.0000,1.0000,7.3
706,0.010708,0.144747,0.959184,2,29.0861,32.2180,52,1.0000,1.0000,8.0
790,0.010330,0.141786,0.954082,2,29.0086,32.1714,37,1.0000,1.0000,8.8
884,0.008818,0.139015,0.965986,2,29.1890,32.3419,50,1.0000,1.0000,9.7
990,0.008440,0.134417,0.960884,2,29.1119,32.1870,41,1.0000,1.0000,10.8
1108,0.009700,0.130574,0.963152,2,29.1462,32.0624,49,1.0000,1.0000,11.9
1240,0.008188,0.127866,0.962585,2,29.1376,32.4345,37,1.0000,1.0000,13.1
1388,0.007937,0.125850,0.962585,2,29.1376,32.2335,38,1.0000,1.0000,14.6
1554,0.007307,0.122449,0.968254,2,29.2233,32.2800,39,1.0000,1.0000,16.2
1740,0.006299,0.120874,0.964853,2,29.1719,32.2645,33,1.0000,1.0000,18.1
1948,0.006425,0.120307,0.968821,2,29.2318,32.3110,41,1.0000,1.0000,20.1
2181,0.005291,0.119552,0.964853,2,29.1719,32.2490,27,1.0000,1.0000,22.5
2442,0.005165,0.117284,0.967120,2,29.2062,32.2955,39,1.0000,1.0000,25.3
2735,0.004157,0.115898,0.967120,2,29.2062,32.2800,38,1.0000,1.0000,28.6
3063,0.002646,0.114827,0.965420,2,29.1805,32.3883,30,1.0000,1.0000,32.0
3430,0.001764,0.112875,0.962585,2,29.1376,32.7719,30,1.0000,1.0000,35.9
3841,0.001512,0.111867,0.979025,2,29.3854,33.0757,46,1.0000,1.0000,40.9
4301,0.001008,0.111678,0.968254,2,29.2233,32.8786,6,1.0000,1.0000,46.2
4817,0.000000,0.111678,0.976190,2,29.3428,33.0454,14,1.0000,1.0000,51.8
5395,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,58.2
6042,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,66.4
6767,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,74.3
7579,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,83.7
8488,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,93.7
9506,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,104.8
10646,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,117.1
11923,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,131.2
12000,0.000000,0.111678,0.976190,2,29.3428,33.0454,0,nan,nan,132.0
