t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.1
50,1.000000,0.121315,0.817460,16,9.4934,28.3901,1393,0.1228,0.1275,0.9
56,1.000000,0.111993,0.839002,12,11.1056,29.0345,136,0.9853,0.9952,1.0
62,1.000000,0.104812,0.840703,9,12.8366,29.1033,100,1.0000,1.0000,1.1
69,1.000000,0.097065,0.849773,10,12.2434,29.1890,113,1.0000,1.0000,1.3
77,1.000000,0.088309,0.856576,4,19.4358,29.3939,98,1.0000,1.0000,1.4
86,1.000000,0.080688,0.870181,5,17.5214,29.5973,118,1.0000,1.0000,1.5
96,1.000000,0.074011,0.877551,3,22.7156,29.6311,101,1.0000,1.0000,1.6
107,1.000000,0.067523,0.874717,3,22.6789,29.6985,88,1.0000,1.0000,1.8
119,1.000000,0.061099,0.875850,3,22.6936,29.9833,100,1.0000,1.0000,1.9
133,1.000000,0.053414,0.874717,5,17.5670,29.6985,94,1.0000,1.0000,2.1
148,1.000000,0.047493,0.886621,3,22.8327,30.0832,109,1.0000,1.0000,2.3
165,1.000000,0.041257,0.891156,3,22.8910,30.2490,97,1.0000,1.0000,2.6
184,1.000000,0.035084,0.883787,5,17.6579,30.2159,92,1.0000,1.0000,3.0
206,1.000000,0.029289,0.889456,4,19.8053,30.1828,107,1.0000,1.0000,3.5
230,1.000000,0.024880,0.890023,4,19.8116,30.5614,112,1.0000,1.0000,3.9
257,1.000000,0.020219,0.901361,4,19.9374,31.0966,122,1.0000,1.0000,4.3
287,1.000000,0.016062,0.899660,5,17.8157,31.5595,103,1.0000,1.0000,4.7
321,1.000000,0.013039,0.918367,3,23.2379,32.2335,106,1.0000,1.0000,5.4
359,1.000000,0.009448,0.924603,3,23.3167,32.5423,93,1.0000,1.0000,6.0
402,1.000000,0.007055,0.922336,3,23.2881,32.9393,96,1.0000,1.0000,6.9
450,1.000000,0.004346,0.923469,3,23.3024,33.2415,88,1.0000,1.0000,7.6
504,1.000000,0.003275,0.921769,3,23.2809,33.5559,88,1.0000,1.0000,8.4
564,1.000000,0.001827,0.933673,3,23.4307,34.1467,89,1.0000,1.0000,9.4
631,1.000000,0.001008,0.935941,3,23.4592,34.7275,82,1.0000,1.0000,10.6
706,1.000000,0.000504,0.938776,3,23.4947,35.2278,79,1.0000,1.0000,11.7
790,1.000000,0.000441,0.938776,3,23.4947,35.4401,67,1.0000,1.0000,12.9
884,1.000000,0.000126,0.943311,4,20.3961,35.7071,79,1.0000,1.0000,14.2
990,1.000000,0.000063,0.946712,3,23.5938,36.1801,68,1.0000,1.0000,15.7
1108,1.000000,0.000063,0.951247,3,23.6502,37.1484,67,1.0000,1.0000,17.3
1240,1.000000,0.000063,0.959751,3,23.7557,37.9342,67,1.0000,1.0000,19.5
1388,1.000000,0.000000,0.955782,3,23.7065,38.4187,44,1.0000,1.0000,21.6
1554,1.000000,0.000000,0.958617,4,20.5609,39.0000,53,1.0000,1.0000,24.6
1740,1.000000,0.000000,0.969388,3,23.8747,39.7995,62,1.0000,1.0000,27.3
1948,1.000000,0.000000,0.981859,2,29.4279,40.6079,46,1.0000,1.0000,30.3
2181,1.000000,0.000000,0.982426,2,29.4364,40.9878,27,1.0000,1.0000,33.7
2442,1.000000,0.000000,0.986395,2,29.4958,41.6173,30,1.0000,1.0000,37.5
2735,1.000000,0.000000,0.993197,1,41.8569,41.8569,24,1.0000,1.0000,41.8
3063,1.000000,0.000000,0.993197,1,41.8569,41.8569,12,1.0000,1.0000,46.3
3430,1.000000,0.000000,0.993764,1,41.8688,41.8688,12,1.0000,1.0000,51.5
3841,1.000000,0.000000,0.993197,1,41.8569,41.8569,11,1.0000,1.0000,57.1
4301,1.000000,0.000000,0.992630,1,41.8450,41.8450,12,1.0000,1.0000,63.4
4817,1.000000,0.000000,0.992630,1,41.8450,41.8450,13,1.0000,1.0000,70.5
5395,1.000000,0.000000,0.990363,1,41.7971,41.7971,13,1.0000,1.0000,78.4
6042,1.000000,0.000000,0.993197,1,41.8569,41.8569,17,1.0000,1.0000,88.3
6767,1.000000,0.000000,0.992630,1,41.8450,41.8450,11,1.0000,1.0000,99.7
7579,1.000000,0.000000,0.990363,1,41.7971,41.7971,13,1.0000,1.0000,112.7
8488,1.000000,0.000000,0.994898,1,41.8927,41.8927,17,1.0000,1.0000,126.5
9506,1.000000,0.000000,0.994898,1,41.8927,41.8927,9,1.0000,1.0000,143.0
10646,1.000000,0.000000,0.990930,1,41.8091,41.8091,9,1.0000,1.0000,160.7
11923,1.000000,0.000000,0.994331,1,41.8808,41.8808,16,1.0000,1.0000,180.3
12000,1.000000,0.000000,0.991497,1,41.8210,41.8210,10,1.0000,1.0000,181.3
