t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.046485,79,1.0188,1.4142,0,nan,nan,0.1
50,1.000000,0.129189,0.809524,17,9.1652,23.4734,1363,0.1761,0.1763,1.0
56,1.000000,0.122071,0.815760,15,9.7946,25.7876,118,1.0000,1.0000,1.1
62,1.000000,0.114575,0.821995,16,9.5197,23.6220,120,1.0000,1.0000,1.3
69,1.000000,0.106891,0.823696,10,12.0540,26.7395,107,0.9907,0.9963,1.4
77,1.000000,0.098073,0.831066,9,12.7628,26.9815,121,1.0000,1.0000,1.5
86,1.000000,0.089947,0.844671,6,15.7586,27.2947,137,1.0000,0.9971,1.6
96,1.000000,0.081318,0.857710,7,14.7018,27.4773,135,0.9926,0.9956,1.8
107,1.000000,0.073633,0.865079,8,13.8112,27.5318,110,1.0000,1.0000,2.1
119,1.000000,0.065382,0.875283,6,16.0416,27.5500,116,1.0000,1.0000,2.3
133,1.000000,0.058453,0.882086,5,17.6409,27.7669,113,1.0000,1.0000,2.5
148,1.000000,0.051335,0.877551,4,19.6723,27.6948,100,1.0000,1.0000,2.8
165,1.000000,0.044344,0.882653,7,14.9140,27.9106,92,1.0000,1.0000,3.1
184,1.000000,0.037856,0.881519,4,19.7167,27.8568,87,1.0000,1.0000,3.4
206,1.000000,0.031872,0.887188,5,17.6918,27.8029,109,1.0000,1.0000,3.8
230,1.000000,0.026392,0.887188,4,19.7800,27.9285,100,1.0000,1.0000,4.2
257,1.000000,0.022487,0.897959,4,19.8997,28.2135,103,1.0000,1.0000,4.6
287,1.000000,0.018582,0.901927,5,17.8382,28.7402,92,1.0000,1.0000,5.0
321,1.000000,0.013920,0.898526,4,19.9060,28.8444,89,1.0000,1.0000,5.4
359,1.000000,0.010645,0.903061,5,17.8494,29.1376,99,1.0000,1.0000,6.0
402,1.000000,0.008125,0.918934,4,20.1308,29.7993,110,1.0000,1.0000,6.6
450,1.000000,0.005858,0.915533,4,20.0935,30.0998,86,1.0000,1.0000,7.2
504,1.000000,0.003905,0.921769,4,20.1618,30.6920,97,1.0000,1.0000,7.9
564,1.000000,0.002646,0.920068,5,18.0167,31.1127,89,1.0000,1.0000,8.7
631,1.000000,0.001575,0.932540,3,23.4165,31.4325,98,1.0000,1.0000,9.6
706,1.000000,0.001008,0.940476,3,23.5160,32.4962,83,1.0000,1.0000,10.8
790,1.000000,0.000567,0.943878,2,28.8531,33.4365,78,1.0000,1.0000,12.2
884,1.000000,0.000315,0.941610,2,28.8184,33.2566,63,1.0000,1.0000,13.9
990,1.000000,0.000189,0.948980,2,28.9310,33.4813,70,1.0000,1.0000,15.7
1108,1.000000,0.000063,0.952381,2,28.9828,34.2491,72,1.0000,1.0000,17.4
1240,1.000000,0.000000,0.954082,2,29.0086,34.9142,65,1.0000,1.0000,19.6
1388,1.000000,0.000000,0.954082,2,29.0086,35.1710,61,1.0000,1.0000,21.7
1554,1.000000,0.000000,0.957483,2,29.0603,35.7211,60,1.0000,1.0000,24.2
1740,1.000000,0.000000,0.955215,3,23.6995,36.0416,54,1.0000,1.0000,27.1
1948,1.000000,0.000000,0.959184,2,29.0861,36.6879,57,1.0000,1.0000,30.5
2181,1.000000,0.000000,0.969955,2,29.2489,37.3363,58,1.0000,1.0000,33.8
2442,1.000000,0.000000,0.966553,2,29.1976,37.6563,39,1.0000,1.0000,37.6
2735,1.000000,0.000000,0.962018,2,29.1290,37.8550,45,1.0000,1.0000,42.4
3063,1.000000,0.000000,0.976190,2,29.3428,39.2046,62,1.0000,1.0000,47.3
3430,1.000000,0.000000,0.972789,2,29.2916,39.5854,33,1.0000,1.0000,53.1
3841,1.000000,0.000000,0.976190,2,29.3428,40.2741,39,1.0000,1.0000,59.8
4301,1.000000,0.000000,0.986961,2,29.5042,41.4488,42,1.0000,1.0000,66.9
4817,1.000000,0.000000,0.993197,1,41.8569,41.8569,23,1.0000,1.0000,74.9
5395,1.000000,0.000000,0.994331,1,41.8808,41.8808,12,1.0000,1.0000,83.5
6042,1.000000,0.000000,0.992630,1,41.8450,41.8450,10,1.0000,1.0000,93.5
6767,1.000000,0.000000,0.992630,1,41.8450,41.8450,13,1.0000,1.0000,104.0
7579,1.000000,0.000000,0.993197,1,41.8569,41.8569,13,1.0000,1.0000,115.9
8488,1.000000,0.000000,0.992630,1,41.8450,41.8450,12,1.0000,1.0000,129.5
9506,1.000000,0.000000,0.994331,1,41.8808,41.8808,13,1.0000,1.0000,145.3
10646,1.000000,0.000000,0.993764,1,41.8688,41.8688,10,1.0000,1.0000,162.2
11923,1.000000,0.000000,0.990363,1,41.7971,41.7971,11,1.0000,1.0000,182.1
12000,1.000000,0.000000,0.992063,1,41.8330,41.8330,17,1.0000,1.0000,183.4
