t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.671832,1.000000,0.040816,66,1.0445,1.7321,0,nan,nan,0.1
50,0.045037,0.277022,0.832200,9,12.7715,28.0713,1402,0.1484,0.1461,0.7
56,0.043462,0.270408,0.843537,7,14.5798,28.5657,90,1.0000,0.9956,0.8
62,0.039934,0.262724,0.837302,6,15.6897,28.5482,72,0.9861,0.9972,0.9
69,0.038801,0.253338,0.865079,6,15.9478,28.9828,102,1.0000,1.0000,1.0
77,0.035084,0.247103,0.863379,5,17.4528,29.1204,70,1.0000,1.0000,1.1
86,0.032376,0.242001,0.871882,6,16.0104,29.3769,66,1.0000,1.0000,1.2
96,0.032754,0.237213,0.863379,4,19.5128,29.4788,60,1.0000,1.0000,1.3
107,0.028597,0.231167,0.871882,4,19.6087,29.8664,78,1.0000,1.0000,1.4
119,0.027400,0.222915,0.872449,4,19.6150,29.8329,79,1.0000,1.0000,1.6
133,0.026203,0.216994,0.892290,4,19.8368,30.3480,85,1.0000,1.0000,1.7
148,0.025132,0.210003,0.895125,4,19.8683,30.4795,71,1.0000,1.0000,1.9
165,0.027211,0.203326,0.907029,4,20.0000,30.8545,71,1.0000,1.0000,2.1
184,0.024691,0.197657,0.895125,4,19.8683,30.9354,60,1.0000,1.0000,2.3
206,0.025321,0.190224,0.904762,4,19.9750,31.3050,78,1.0000,1.0000,2.5
230,0.023998,0.183296,0.905329,4,19.9812,31.7648,73,1.0000,1.0000,2.8
257,0.020408,0.177123,0.919501,4,20.1370,32.1403,77,1.0000,1.0000,3.2
287,0.018644,0.171643,0.924603,4,20.1928,32.5115,70,1.0000,1.0000,3.5
321,0.018644,0.169060,0.926304,4,20.2114,32.6650,58,1.0000,1.0000,3.9
359,0.015243,0.165407,0.935941,4,20.3162,33.3617,61,1.0000,1.0000,4.4
402,0.013605,0.161565,0.933107,4,20.2855,33.6452,52,1.0000,1.0000,4.9
450,0.012850,0.156966,0.935374,4,20.3101,34.0294,58,1.0000,1.0000,5.5
504,0.011338,0.151046,0.948413,4,20.4512,34.7851,72,1.0000,1.0000,6.2
564,0.008062,0.147203,0.961451,2,29.1204,35.4401,53,1.0000,1.0000,6.8
631,0.007055,0.144621,0.963719,2,29.1548,35.6931,45,1.0000,1.0000,7.7
706,0.007055,0.140653,0.964853,2,29.1719,35.7351,38,1.0000,1.0000,8.5
790,0.006551,0.137944,0.965986,2,29.1890,36.0555,27,1.0000,1.0000,9.4
884,0.006425,0.135047,0.963719,2,29.1548,36.3043,38,1.0000,1.0000,10.5
990,0.005921,0.133094,0.969388,2,29.2404,36.4966,35,1.0000,1.0000,11.8
1108,0.006173,0.131645,0.968254,2,29.2233,36.9594,37,1.0000,1.0000,13.0
1240,0.005921,0.127992,0.969955,2,29.2489,37.6431,33,1.0000,1.0000,14.6
1388,0.004787,0.124339,0.969388,2,29.2404,38.0395,30,1.0000,1.0000,16.3
1554,0.005039,0.121000,0.973356,2,29.3002,38.6264,31,1.0000,1.0000,18.3
1740,0.004157,0.117851,0.977891,2,29.3684,39.2301,32,1.0000,1.0000,20.4
1948,0.003905,0.111867,0.983560,2,29.4534,40.0125,37,1.0000,1.0000,22.6
2181,0.003527,0.107395,0.987528,2,29.5127,40.6079,23,1.0000,1.0000,25.2
2442,0.002079,0.102797,0.990363,2,29.5550,41.4729,22,1.0000,1.0000,28.1
2735,0.000000,0.101600,1.000000,1,42.0000,42.0000,17,1.0000,1.0000,31.2
3063,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,34.7
3430,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,38.9
3841,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,43.3
4301,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,48.2
4817,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,53.6
5395,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,59.5
6042,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,66.6
6767,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,74.6
7579,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,83.0
8488,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,93.0
9506,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,105.1
10646,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,118.1
11923,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,132.9
12000,0.000000,0.101600,1.000000,1,42.0000,42.0000,0,nan,nan,133.7
