t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.040816,66,1.0445,1.7321,0,nan,nan,0.0
50,1.000000,0.230348,0.832200,14,10.2400,25.1992,1410,0.1468,0.1449,0.7
56,1.000000,0.224049,0.838435,10,12.1614,25.6905,95,1.0000,1.0000,0.8
62,1.000000,0.217750,0.845238,11,11.6424,25.9422,77,0.9870,0.9955,0.9
69,1.000000,0.212270,0.858844,9,12.9743,26.1725,93,1.0000,1.0000,1.0
77,1.000000,0.205089,0.856009,9,12.9529,26.1343,87,1.0000,1.0000,1.1
86,1.000000,0.197468,0.868481,6,15.9792,26.1725,94,1.0000,0.9947,1.3
96,1.000000,0.191295,0.874150,6,16.0312,26.2488,77,1.0000,1.0000,1.4
107,1.000000,0.185248,0.880952,6,16.0935,26.2488,74,1.0000,0.9953,1.6
119,1.000000,0.179831,0.889456,5,17.7144,26.2107,72,1.0000,1.0000,1.8
133,1.000000,0.174792,0.900227,5,17.8213,26.6833,90,1.0000,1.0000,1.9
148,1.000000,0.168682,0.899660,4,19.9186,26.8328,81,1.0000,1.0000,2.1
165,1.000000,0.163013,0.901927,4,19.9437,27.0555,69,1.0000,1.0000,2.4
184,1.000000,0.157218,0.910431,4,20.0375,27.1846,75,1.0000,1.0000,2.6
206,1.000000,0.150920,0.914966,4,20.0873,27.4591,78,1.0000,1.0000,2.9
230,1.000000,0.145377,0.921769,3,23.2809,27.4955,79,1.0000,1.0000,3.3
257,1.000000,0.140967,0.922336,3,23.2881,27.4591,66,1.0000,1.0000,3.7
287,1.000000,0.134039,0.924603,3,23.3167,27.4408,69,1.0000,1.0000,4.1
321,1.000000,0.129252,0.912132,3,23.1589,27.3861,49,1.0000,1.0000,4.5
359,1.000000,0.124717,0.929705,3,23.3809,27.5318,82,1.0000,1.0000,5.1
402,1.000000,0.118292,0.934240,3,23.4379,28.0179,68,1.0000,1.0000,5.7
450,1.000000,0.114009,0.928571,3,23.3666,28.0535,65,1.0000,1.0000,6.3
504,1.000000,0.109033,0.935941,3,23.4592,28.4077,65,1.0000,1.0000,7.0
564,1.000000,0.103804,0.940476,3,23.5160,28.4253,69,1.0000,1.0000,7.8
631,1.000000,0.098262,0.938776,3,23.4947,28.4781,63,1.0000,1.0000,8.9
706,1.000000,0.092908,0.946712,3,23.5938,29.0000,61,1.0000,1.0000,10.3
790,1.000000,0.086609,0.946145,3,23.5867,29.4109,65,1.0000,1.0000,11.7
884,1.000000,0.080562,0.946712,3,23.5938,29.3769,57,1.0000,1.0000,13.1
990,1.000000,0.075082,0.948413,3,23.6150,30.2324,60,1.0000,1.0000,14.6
1108,1.000000,0.068909,0.962018,3,23.7837,30.6268,63,1.0000,1.0000,16.6
1240,1.000000,0.064752,0.959184,2,29.0861,30.3974,37,1.0000,1.0000,18.6
1388,1.000000,0.059965,0.962018,2,29.1290,30.4795,50,1.0000,1.0000,21.0
1554,1.000000,0.054737,0.965986,2,29.1890,30.3480,54,1.0000,1.0000,23.9
1740,1.000000,0.049446,0.965420,2,29.1805,30.1496,37,1.0000,1.0000,26.6
1948,1.000000,0.044911,0.958617,2,29.0775,30.1164,27,1.0000,1.0000,30.2
2181,1.000000,0.041320,0.965986,2,29.1890,30.5123,46,1.0000,1.0000,34.2
2442,1.000000,0.036092,0.960884,2,29.1119,30.5778,30,1.0000,1.0000,37.9
2735,1.000000,0.031557,0.964853,2,29.1719,30.7246,48,1.0000,1.0000,42.6
3063,1.000000,0.027526,0.970522,2,29.2575,30.9677,43,1.0000,1.0000,48.0
3430,1.000000,0.024376,0.964286,2,29.1633,30.9031,33,1.0000,1.0000,53.9
3841,1.000000,0.020156,0.964286,2,29.1633,30.4795,37,1.0000,1.0000,60.0
4301,1.000000,0.016692,0.968821,2,29.2318,30.4959,43,1.0000,1.0000,67.3
4817,1.000000,0.013983,0.971088,2,29.2660,30.1828,40,1.0000,1.0000,75.0
5395,1.000000,0.010771,0.967120,2,29.2062,30.5450,28,1.0000,1.0000,84.1
6042,1.000000,0.008188,0.965986,2,29.1890,29.9666,41,1.0000,1.0000,93.9
6767,1.000000,0.005669,0.964853,2,29.1719,29.5296,38,1.0000,1.0000,105.2
7579,1.000000,0.004220,0.967120,2,29.2062,29.3598,44,1.0000,1.0000,117.3
8488,1.000000,0.003212,0.969955,2,29.2489,29.5635,46,1.0000,1.0000,131.4
9506,1.000000,0.002142,0.968821,2,29.2318,29.7993,41,1.0000,1.0000,148.0
10646,1.000000,0.001764,0.963152,2,29.1462,30.2159,35,1.0000,1.0000,165.9
11923,1.000000,0.001197,0.965986,2,29.1890,30.4467,48,1.0000,1.0000,185.8
12000,1.000000,0.001197,0.973923,2,29.3087,30.4302,40,1.0000,1.0000,187.4
