t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.671832,1.000000,0.040816,66,1.0445,1.7321,0,nan,nan,0.1
50,0.044659,0.279289,0.829365,14,10.2225,29.0345,1396,0.1468,0.1443,0.8
56,0.039746,0.271920,0.828231,12,11.0340,29.2746,66,1.0000,1.0000,0.9
62,0.037415,0.266125,0.842404,10,12.1902,29.5466,72,0.9861,0.9958,1.0
69,0.038171,0.259196,0.848073,8,13.6748,29.8831,60,1.0000,1.0000,1.1
77,0.032691,0.252897,0.858844,8,13.7614,30.2159,82,1.0000,1.0000,1.2
86,0.030045,0.247040,0.859410,7,14.7164,30.3974,62,1.0000,1.0000,1.3
96,0.028534,0.242063,0.873016,7,14.8324,30.7571,75,1.0000,1.0000,1.4
107,0.027526,0.237465,0.887188,7,14.9523,30.7896,78,1.0000,1.0000,1.5
119,0.026203,0.232615,0.897392,4,19.8935,31.3688,68,1.0000,1.0000,1.7
133,0.025006,0.226694,0.895125,4,19.8683,31.5911,57,1.0000,1.0000,1.8
148,0.022991,0.220648,0.895692,4,19.8746,31.6860,66,1.0000,1.0000,2.0
165,0.022802,0.215608,0.902494,5,17.8438,31.8591,64,1.0000,1.0000,2.2
184,0.022361,0.208491,0.906463,4,19.9937,32.1714,62,1.0000,1.0000,2.5
206,0.019841,0.202003,0.912698,5,17.9444,32.3110,66,1.0000,1.0000,2.7
230,0.019589,0.192555,0.910998,4,20.0437,32.8024,62,1.0000,1.0000,3.0
257,0.015369,0.185437,0.921202,3,23.2737,33.0606,64,1.0000,1.0000,3.3
287,0.015747,0.180839,0.921202,3,23.2737,33.3766,48,1.0000,1.0000,3.7
321,0.016314,0.176808,0.936508,3,23.4663,33.7639,77,1.0000,1.0000,4.0
359,0.013857,0.174855,0.936508,3,23.4663,34.0000,44,1.0000,1.0000,4.5
402,0.013605,0.173784,0.935941,3,23.4592,34.2929,46,1.0000,1.0000,5.1
450,0.014109,0.170383,0.941043,3,23.5230,34.7131,59,1.0000,1.0000,5.7
504,0.013291,0.165029,0.947846,3,23.6079,35.0571,53,1.0000,1.0000,6.3
564,0.011149,0.160116,0.945578,3,23.5797,35.1141,46,1.0000,1.0000,7.0
631,0.010960,0.156337,0.949546,3,23.6291,35.5668,54,1.0000,1.0000,7.7
706,0.010330,0.151990,0.955782,3,23.7065,36.2629,51,1.0000,1.0000,8.5
790,0.008188,0.145440,0.958050,3,23.7346,36.8646,52,1.0000,1.0000,9.5
884,0.007622,0.141219,0.968821,3,23.8677,37.6165,53,1.0000,1.0000,10.8
990,0.006173,0.137566,0.977324,2,29.3598,38.2753,43,1.0000,1.0000,12.2
1108,0.005291,0.135802,0.977891,2,29.3684,38.6135,27,1.0000,1.0000,13.6
1240,0.004661,0.132527,0.978458,2,29.3769,38.9615,32,1.0000,1.0000,15.0
1388,0.005291,0.129630,0.982993,2,29.4449,39.4715,33,1.0000,1.0000,16.9
1554,0.004157,0.126984,0.984127,2,29.4618,39.9249,25,1.0000,1.0000,19.1
1740,0.003401,0.124339,0.981859,2,29.4279,40.3733,26,1.0000,1.0000,21.1
1948,0.002268,0.119111,0.989229,2,29.5381,41.1096,32,1.0000,1.0000,23.7
2181,0.001512,0.113694,0.992063,2,29.5804,41.6533,19,1.0000,1.0000,27.1
2442,0.000000,0.110796,1.000000,1,42.0000,42.0000,14,1.0000,1.0000,30.6
2735,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,34.2
3063,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,38.5
3430,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,42.9
3841,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,48.2
4301,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,54.1
4817,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,60.5
5395,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,67.2
6042,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,74.1
6767,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,82.0
7579,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,91.2
8488,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,101.6
9506,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,113.3
10646,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,125.9
11923,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,138.7
12000,0.000000,0.110796,1.000000,1,42.0000,42.0000,0,nan,nan,139.5
