t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.1
50,1.000000,0.228332,0.848639,10,12.2352,28.6880,1449,0.1235,0.1274,0.9
56,1.000000,0.220648,0.845805,7,14.5994,28.7750,68,1.0000,1.0000,1.0
62,1.000000,0.214601,0.858844,6,15.8902,29.1376,90,1.0000,1.0000,1.1
69,1.000000,0.206475,0.861111,5,17.4299,29.2062,79,1.0000,1.0000,1.3
77,1.000000,0.200554,0.873583,4,19.6278,29.4958,87,1.0000,1.0000,1.4
86,1.000000,0.195641,0.871315,4,19.6023,29.6816,64,1.0000,1.0000,1.5
96,1.000000,0.190287,0.875850,4,19.6532,29.5804,74,1.0000,1.0000,1.7
107,1.000000,0.182666,0.873583,4,19.6278,30.1993,81,1.0000,1.0000,1.8
119,1.000000,0.177375,0.878685,4,19.6850,30.3150,72,1.0000,1.0000,2.0
133,1.000000,0.171328,0.885488,4,19.7611,30.7083,77,1.0000,1.0000,2.3
148,1.000000,0.167360,0.896825,4,19.8872,30.7896,81,1.0000,1.0000,2.5
165,1.000000,0.161817,0.892857,3,22.9129,30.8383,76,1.0000,1.0000,2.8
184,1.000000,0.157911,0.904195,3,23.0579,30.9839,77,1.0000,1.0000,3.1
206,1.000000,0.153187,0.913265,3,23.1733,31.2730,74,1.0000,1.0000,3.4
230,1.000000,0.148337,0.911565,3,23.1517,31.3688,73,1.0000,1.0000,3.7
257,1.000000,0.143676,0.917800,3,23.2307,31.6860,84,1.0000,1.0000,4.1
287,1.000000,0.137377,0.920635,3,23.2666,32.0624,70,1.0000,1.0000,4.5
321,1.000000,0.131141,0.921202,3,23.2737,32.0000,65,1.0000,1.0000,5.1
359,1.000000,0.126291,0.932540,3,23.4165,32.2490,75,1.0000,1.0000,5.7
402,1.000000,0.121882,0.928005,2,28.6094,32.0936,59,1.0000,1.0000,6.2
450,1.000000,0.116654,0.938209,2,28.7663,32.2955,71,1.0000,1.0000,6.9
504,1.000000,0.110103,0.936508,2,28.7402,32.3265,68,1.0000,1.0000,7.7
564,1.000000,0.104560,0.933107,2,28.6880,32.2645,49,1.0000,1.0000,8.6
631,1.000000,0.099080,0.933107,2,28.6880,32.2490,63,1.0000,1.0000,9.7
706,1.000000,0.093726,0.943311,2,28.8444,32.4037,64,1.0000,1.0000,10.8
790,1.000000,0.088750,0.946712,2,28.8964,32.5883,54,1.0000,1.0000,12.0
884,1.000000,0.084152,0.946712,2,28.8964,32.3883,61,1.0000,1.0000,13.5
990,1.000000,0.077727,0.952948,2,28.9914,32.1559,59,1.0000,1.0000,15.4
1108,1.000000,0.071807,0.947279,2,28.9050,32.1559,47,1.0000,1.0000,17.4
1240,1.000000,0.066453,0.951814,2,28.9741,32.5883,61,1.0000,1.0000,19.5
1388,1.000000,0.061665,0.951247,2,28.9655,32.5576,60,1.0000,1.0000,21.8
1554,1.000000,0.057067,0.946145,2,28.8877,32.7414,54,1.0000,1.0000,24.1
1740,1.000000,0.051965,0.950680,2,28.9569,32.8024,75,1.0000,1.0000,27.2
1948,1.000000,0.046107,0.952381,2,28.9828,32.6190,59,1.0000,1.0000,31.2
2181,1.000000,0.041698,0.947279,2,28.9050,32.0468,51,1.0000,1.0000,34.6
2442,1.000000,0.037289,0.955782,2,29.0345,32.0780,71,1.0000,1.0000,38.1
2735,1.000000,0.031935,0.953515,2,29.0000,31.4166,48,1.0000,1.0000,43.0
3063,1.000000,0.027715,0.952948,2,28.9914,32.1559,59,1.0000,1.0000,48.0
3430,1.000000,0.024250,0.947846,2,28.9137,32.1714,58,1.0000,1.0000,54.3
3841,1.000000,0.020975,0.948980,2,28.9310,32.4962,66,1.0000,1.0000,60.5
4301,1.000000,0.017322,0.948980,2,28.9310,32.3728,53,1.0000,1.0000,67.9
4817,1.000000,0.013605,0.955215,2,29.0259,32.9393,75,1.0000,1.0000,77.0
5395,1.000000,0.010582,0.952948,2,28.9914,32.4191,65,1.0000,1.0000,87.2
6042,1.000000,0.008440,0.951247,2,28.9655,32.9848,69,1.0000,1.0000,97.5
6767,1.000000,0.006488,0.952381,2,28.9828,32.2335,65,1.0000,1.0000,109.9
7579,1.000000,0.004724,0.954649,2,29.0172,32.2025,62,1.0000,1.0000,124.9
8488,1.000000,0.003842,0.953515,2,29.0000,32.6650,59,1.0000,1.0000,141.4
9506,1.000000,0.002520,0.947279,2,28.9050,32.6803,61,1.0000,1.0000,159.6
10646,1.000000,0.001890,0.950680,2,28.9569,33.2114,77,1.0000,1.0000,179.4
11923,1.000000,0.001197,0.946712,2,28.8964,33.7787,62,1.0000,1.0000,199.7
12000,1.000000,0.001134,0.954649,2,29.0172,33.9706,56,1.0000,1.0000,201.3
