t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.688524,1.000000,0.046485,79,1.0188,1.4142,0,nan,nan,0.1
50,0.037667,0.275069,0.865079,12,11.2768,26.6458,1453,0.1727,0.1759,0.9
56,0.034643,0.267448,0.865646,10,12.3572,26.5707,59,1.0000,1.0000,1.0
62,0.030612,0.261590,0.872449,9,13.0767,26.9444,68,1.0000,1.0000,1.2
69,0.029856,0.256614,0.875850,9,13.1022,27.0555,57,1.0000,1.0000,1.3
77,0.029856,0.252457,0.878118,8,13.9149,27.1662,61,1.0000,1.0000,1.4
86,0.027022,0.246788,0.885488,8,13.9732,27.5136,66,1.0000,1.0000,1.5
96,0.025132,0.241938,0.892290,8,14.0268,27.8747,66,1.0000,1.0000,1.7
107,0.021920,0.236709,0.897959,7,15.0428,28.0357,57,1.0000,1.0000,1.8
119,0.022172,0.232930,0.903061,7,15.0855,28.0891,60,1.0000,1.0000,2.0
133,0.021857,0.225876,0.907029,6,16.3299,28.3196,51,1.0000,1.0000,2.3
148,0.019652,0.220899,0.917800,5,17.9944,28.5307,64,1.0000,1.0000,2.5
165,0.019463,0.216931,0.926871,5,18.0831,28.7228,51,1.0000,1.0000,2.7
184,0.015621,0.212522,0.934807,4,20.3039,29.0517,57,1.0000,1.0000,3.0
206,0.014613,0.208491,0.934807,4,20.3039,29.0172,36,1.0000,1.0000,3.3
230,0.014865,0.204963,0.930839,4,20.2608,29.0000,41,1.0000,1.0000,3.6
257,0.011527,0.199861,0.933673,3,23.4307,29.2575,50,1.0000,1.0000,3.9
287,0.011464,0.195893,0.952381,2,28.9828,29.6816,59,1.0000,1.0000,4.3
321,0.011086,0.193500,0.955215,2,29.0259,29.6479,33,1.0000,1.0000,5.0
359,0.011590,0.189909,0.955782,2,29.0345,29.5973,43,1.0000,1.0000,5.6
402,0.012724,0.187831,0.959751,2,29.0947,29.6311,41,1.0000,1.0000,6.3
450,0.010708,0.183359,0.961451,2,29.1204,29.7658,37,1.0000,1.0000,6.9
504,0.010708,0.181091,0.959184,2,29.0861,29.6311,36,1.0000,1.0000,7.8
564,0.010960,0.177879,0.960317,2,29.1033,29.9833,43,1.0000,1.0000,8.6
631,0.010078,0.174288,0.963719,2,29.1548,29.9666,45,1.0000,1.0000,9.7
706,0.009448,0.171139,0.955782,2,29.0345,29.6311,31,1.0000,1.0000,10.8
790,0.008818,0.168997,0.958617,2,29.0775,29.6142,37,1.0000,1.0000,12.3
884,0.007685,0.166856,0.960317,2,29.1033,29.4788,35,1.0000,1.0000,13.6
990,0.008818,0.165470,0.962018,2,29.1290,29.8161,39,1.0000,1.0000,15.2
1108,0.007685,0.163706,0.959751,2,29.0947,29.7153,31,1.0000,1.0000,16.7
1240,0.007811,0.161817,0.960884,2,29.1119,29.8329,34,1.0000,1.0000,18.4
1388,0.006047,0.158919,0.961451,2,29.1204,30.0500,44,1.0000,1.0000,20.0
1554,0.006425,0.157155,0.962018,2,29.1290,29.7658,40,1.0000,1.0000,22.0
1740,0.005543,0.155140,0.972789,2,29.2916,30.2324,49,1.0000,1.0000,24.2
1948,0.004031,0.153817,0.973356,2,29.3002,30.3150,26,1.0000,1.0000,26.7
2181,0.003653,0.152935,0.965420,2,29.1805,30.3809,19,1.0000,1.0000,29.4
2442,0.002646,0.151109,0.965420,2,29.1805,30.1828,23,1.0000,1.0000,33.1
2735,0.002142,0.150479,0.968254,2,29.2233,30.1828,24,1.0000,1.0000,36.5
3063,0.001386,0.150038,0.967687,2,29.2147,30.0832,18,1.0000,1.0000,42.5
3430,0.000504,0.149786,0.965986,2,29.1890,30.0998,19,1.0000,1.0000,47.7
3841,0.000504,0.149408,0.968254,2,29.2233,30.1662,4,1.0000,1.0000,53.9
4301,0.000504,0.149345,0.962018,2,29.1290,29.9833,0,nan,nan,61.9
4817,0.000252,0.149219,0.952381,2,28.9828,29.6985,0,nan,nan,68.9
5395,0.000252,0.148967,0.952381,2,28.9828,29.6985,0,nan,nan,76.4
6042,0.000252,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,85.3
6767,0.000252,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,94.7
7579,0.000252,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,104.8
8488,0.000000,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,115.8
9506,0.000000,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,129.6
10646,0.000000,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,143.5
11923,0.000000,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,159.1
12000,0.000000,0.148841,0.952381,2,28.9828,29.6985,0,nan,nan,160.0
