t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.688265,0.050781,79,1.2170,2.8284,117,nan,nan,0.0
50,0.652988,0.148872,129,1.6306,4.1231,299,0.2676,0.1579,0.3
56,0.617711,0.149740,126,1.6547,3.3166,111,0.6757,0.3653,0.3
62,0.632829,0.157986,132,1.6606,3.4641,117,0.6581,0.3560,0.3
69,0.624910,0.162326,126,1.7229,3.8730,124,0.6452,0.3875,0.4
77,0.652268,0.160156,128,1.6979,4.0000,137,0.5620,0.3901,0.4
86,0.644348,0.166667,135,1.6865,3.7417,154,0.6169,0.3899,0.4
96,0.609791,0.178819,135,1.7470,4.0000,164,0.5854,0.3887,0.5
107,0.622030,0.174913,125,1.7956,3.8730,146,0.6438,0.4257,0.5
119,0.633549,0.180990,146,1.6900,3.8730,149,0.7315,0.4097,0.5
133,0.650828,0.178819,133,1.7600,5.0990,162,0.6667,0.4296,0.6
148,0.645068,0.190538,133,1.8168,5.0000,187,0.6203,0.4166,0.8
165,0.639309,0.190538,127,1.8592,4.6904,173,0.6532,0.4373,0.9
184,0.650828,0.197917,143,1.7857,3.8730,217,0.6359,0.4281,0.9
206,0.633549,0.191406,137,1.7942,4.6904,197,0.6294,0.4713,1.0
230,0.660907,0.200087,140,1.8146,4.6904,217,0.6636,0.4373,1.1
257,0.642909,0.196615,117,1.9677,4.2426,201,0.7363,0.4532,1.2
287,0.647228,0.199653,118,1.9744,5.0990,232,0.5819,0.4300,1.3
321,0.625630,0.209201,117,2.0297,4.7958,235,0.6426,0.4228,1.4
359,0.648668,0.206597,120,1.9916,5.1962,215,0.6651,0.4377,1.6
402,0.636429,0.217448,128,1.9784,4.8990,239,0.6067,0.4364,1.8
450,0.639309,0.217448,116,2.0782,5.0000,261,0.6130,0.4833,1.9
504,0.642189,0.225694,114,2.1357,4.8990,282,0.6277,0.4645,2.1
564,0.659467,0.218750,111,2.1309,4.8990,249,0.6506,0.4805,2.3
631,0.633549,0.229167,119,2.1064,5.0990,296,0.5845,0.4617,2.7
706,0.653708,0.227431,112,2.1630,4.8990,301,0.6312,0.4844,2.9
790,0.619870,0.244358,113,2.2321,5.2915,313,0.5942,0.4776,3.2
884,0.623470,0.236545,110,2.2259,5.5678,293,0.6382,0.4863,3.5
990,0.653708,0.236111,127,2.0697,6.0000,309,0.6278,0.4743,3.8
1108,0.649388,0.237847,119,2.1459,4.8990,309,0.6505,0.5126,4.2
1240,0.650108,0.229601,125,2.0572,4.7958,306,0.6340,0.5025,4.6
1388,0.614831,0.226562,110,2.1784,5.9161,309,0.5761,0.4909,5.1
1554,0.606192,0.237413,111,2.2199,5.7446,335,0.5194,0.4539,5.6
1740,0.639309,0.244792,117,2.1956,5.6569,350,0.5657,0.4824,6.1
1948,0.653708,0.237847,105,2.2845,5.7446,343,0.6356,0.4990,6.6
2200,0.624910,0.236111,120,2.1292,5.2915,346,0.5723,0.4669,7.3
2600,0.652268,0.248698,118,2.2036,5.2915,377,0.5332,0.4893,8.2
3000,0.629950,0.250434,107,2.3222,5.6569,367,0.5858,0.5065,9.4
3400,0.644348,0.250434,112,2.2698,5.7446,401,0.5586,0.5111,10.4
4000,0.623470,0.250868,104,2.3575,5.9161,374,0.5588,0.4888,12.7
4600,0.606911,0.253038,109,2.3127,6.0828,386,0.5259,0.4882,14.7
5200,0.619150,0.247396,115,2.2263,7.4833,360,0.5694,0.4968,16.5
6000,0.614111,0.246528,104,2.3370,6.1644,396,0.4823,0.4859,19.9
6800,0.608351,0.258681,102,2.4173,7.4833,394,0.5863,0.4815,22.6
7800,0.661627,0.252170,95,2.4730,6.7823,385,0.5455,0.4962,26.4
8800,0.615551,0.250434,99,2.4142,5.7446,420,0.5262,0.4943,29.6
10000,0.652988,0.258681,96,2.4917,6.0828,417,0.5252,0.4831,33.5
11400,0.614831,0.255208,93,2.5145,7.5498,398,0.5452,0.4910,38.9
12800,0.599712,0.258681,107,2.3601,7.0000,413,0.5351,0.4645,43.8
14400,0.637869,0.262153,107,2.3759,6.8557,422,0.5047,0.4889,49.0
16200,0.620590,0.271267,88,2.6650,7.9373,417,0.5468,0.4930,53.8
18200,0.623470,0.256076,100,2.4290,7.4833,383,0.5352,0.4794,58.9
20400,0.637149,0.261285,113,2.3081,8.9443,430,0.5116,0.4967,64.0
23000,0.601872,0.266493,92,2.5834,6.4031,420,0.5214,0.5112,71.2
25800,0.650828,0.256510,96,2.4812,7.5498,392,0.4668,0.4564,78.2
29000,0.655148,0.261285,104,2.4059,6.7823,443,0.4921,0.4937,87.3
32600,0.612671,0.263455,91,2.5827,7.6158,415,0.5301,0.4939,98.4
36600,0.637869,0.263455,96,2.5145,9.7468,428,0.4626,0.4681,110.4
41000,0.664507,0.258247,103,2.4035,6.1644,426,0.5376,0.4879,124.0
46000,0.639309,0.259115,106,2.3732,8.0623,442,0.5113,0.5089,138.7
51600,0.632829,0.270833,107,2.4149,6.7823,477,0.5556,0.5007,153.0
57800,0.614111,0.263455,95,2.5277,7.6158,418,0.5144,0.5106,168.1
64800,0.622030,0.259983,106,2.3772,6.3246,415,0.5301,0.4990,186.5
72600,0.635709,0.253038,111,2.2918,5.1962,426,0.5070,0.4806,211.0
81400,0.633549,0.262587,102,2.4354,6.4031,455,0.4462,0.4704,236.7
91200,0.636429,0.262153,93,2.5485,7.2111,446,0.5090,0.4965,262.4
100000,0.659467,0.262587,102,2.4354,7.2801,429,0.4755,0.4812,283.8
