t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.692638,0.064236,101,1.2105,3.0000,148,nan,nan,0.0
50,0.640457,0.174479,132,1.7451,3.8730,340,0.3147,0.2016,0.3
56,0.671194,0.167101,136,1.6825,3.7417,123,0.6179,0.4126,0.3
62,0.658327,0.173177,136,1.7128,3.7417,142,0.6690,0.4130,0.4
69,0.670479,0.179688,140,1.7196,4.0000,162,0.7099,0.4198,0.4
77,0.652609,0.194010,129,1.8615,3.8730,172,0.6105,0.4221,0.5
86,0.642602,0.185330,135,1.7785,4.2426,135,0.6370,0.4133,0.5
96,0.643317,0.194878,140,1.7908,4.0000,168,0.6667,0.4387,0.6
107,0.679056,0.199219,142,1.7979,3.6056,169,0.5917,0.4441,0.6
119,0.662616,0.187500,139,1.7629,4.0000,156,0.6923,0.4776,0.7
133,0.657613,0.196181,144,1.7717,4.3589,197,0.6091,0.4541,0.7
148,0.647605,0.200955,145,1.7869,4.3589,175,0.6343,0.4506,0.8
165,0.650465,0.196615,144,1.7736,4.4721,181,0.7293,0.4682,0.8
184,0.662616,0.199219,140,1.8107,4.2426,196,0.6531,0.4653,0.9
206,0.665475,0.208767,132,1.9089,5.5678,218,0.6651,0.4564,0.9
230,0.651894,0.210069,138,1.8728,5.3852,220,0.6455,0.4748,1.0
257,0.658327,0.211806,140,1.8670,4.3589,236,0.5932,0.4754,1.1
287,0.681201,0.216580,156,1.7885,4.3589,259,0.6139,0.4892,1.2
321,0.663331,0.219184,126,2.0020,4.6904,226,0.6991,0.5170,1.3
359,0.646176,0.222656,125,2.0258,4.4721,255,0.6235,0.4749,1.4
402,0.629021,0.226997,117,2.1143,4.8990,262,0.6794,0.4866,1.5
450,0.643317,0.226562,117,2.1122,4.6904,254,0.6614,0.4778,1.7
504,0.658327,0.234809,118,2.1412,5.6569,270,0.6444,0.4704,1.9
564,0.654039,0.225694,125,2.0396,5.0990,266,0.6504,0.4868,2.3
631,0.626876,0.223090,116,2.1050,5.0000,273,0.6337,0.4903,2.6
706,0.644746,0.236979,117,2.1602,4.7958,300,0.6100,0.4528,2.9
790,0.659757,0.229601,119,2.1084,4.6904,288,0.6111,0.4970,3.4
884,0.673338,0.232639,133,2.0075,6.0828,318,0.5409,0.4866,3.8
990,0.666190,0.238715,119,2.1498,5.4772,338,0.6243,0.4979,4.3
1108,0.661901,0.235243,106,2.2612,5.0990,314,0.5796,0.5053,4.9
1240,0.634024,0.241319,135,2.0294,5.5678,336,0.5863,0.4850,5.4
1388,0.646891,0.240451,120,2.1486,6.3246,322,0.5683,0.5000,5.9
1554,0.672623,0.243490,116,2.1991,5.6569,346,0.6040,0.5042,6.5
1740,0.646891,0.234809,108,2.2381,5.1962,330,0.5788,0.5197,7.3
1948,0.641172,0.252170,110,2.2982,4.6904,356,0.5787,0.4838,8.2
2200,0.657613,0.240885,116,2.1873,4.8990,345,0.6058,0.5097,9.2
2600,0.621873,0.251302,104,2.3595,6.7823,372,0.6210,0.4934,10.6
3000,0.630450,0.253472,114,2.2634,5.0000,371,0.5633,0.4801,11.9
3400,0.615440,0.254774,102,2.3989,7.0711,384,0.5651,0.5069,13.3
4000,0.648320,0.259115,100,2.4434,6.8557,393,0.5700,0.4997,15.3
4600,0.617584,0.265625,101,2.4616,7.0000,403,0.5558,0.4871,17.8
5200,0.630450,0.266493,103,2.4415,6.4807,382,0.5812,0.5004,20.1
6000,0.636883,0.265191,94,2.5495,6.4807,389,0.5578,0.5063,23.3
6800,0.611866,0.258247,100,2.4393,6.5574,405,0.5704,0.5038,26.3
7800,0.604718,0.257378,103,2.3994,7.5498,433,0.4896,0.4885,30.2
8800,0.642602,0.266493,98,2.5031,6.1644,429,0.5035,0.4874,33.5
10000,0.612580,0.273438,97,2.5485,6.5574,432,0.5417,0.5214,38.0
11400,0.641172,0.272135,93,2.5965,6.8557,424,0.5354,0.5132,43.2
12800,0.645461,0.267795,113,2.3367,5.6569,407,0.4914,0.5095,47.9
14400,0.650465,0.266927,99,2.4924,7.9373,408,0.5686,0.5205,52.6
16200,0.609006,0.279514,86,2.7365,6.9282,457,0.5492,0.4938,57.5
18200,0.615440,0.271267,107,2.4168,7.6158,427,0.5222,0.4993,62.6
20400,0.635454,0.281684,96,2.6001,7.5498,426,0.5540,0.5119,67.4
23000,0.627591,0.269097,89,2.6394,11.0905,413,0.6053,0.5217,75.2
25800,0.670479,0.274740,104,2.4671,7.0000,424,0.5071,0.4746,83.2
29000,0.643317,0.292969,86,2.8016,8.5440,443,0.5688,0.5161,92.7
32600,0.624732,0.281684,91,2.6706,9.1104,461,0.5249,0.4974,103.4
36600,0.608292,0.274740,88,2.6820,8.3066,423,0.5508,0.5180,114.9
41000,0.608292,0.279514,86,2.7365,9.3274,468,0.5107,0.4795,129.0
46000,0.624732,0.265625,105,2.4142,9.0554,427,0.4801,0.4975,143.2
51600,0.626876,0.291233,79,2.9144,9.2195,473,0.5032,0.5027,158.8
57800,0.621158,0.262587,111,2.3346,8.3066,432,0.4676,0.4833,175.1
64800,0.637598,0.268229,105,2.4260,8.8318,441,0.5125,0.4944,193.4
72600,0.649750,0.276476,79,2.8396,7.0711,444,0.5045,0.4911,214.1
81400,0.659042,0.269531,104,2.4436,7.8102,432,0.5208,0.4941,239.6
91200,0.646891,0.270399,110,2.3798,7.2801,448,0.5513,0.5108,263.7
100000,0.647605,0.275174,100,2.5179,8.6603,464,0.5302,0.5092,284.6
