t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.688265,0.050781,79,1.2170,2.8284,117,nan,nan,0.0
50,0.688985,0.231337,124,2.0733,5.7446,481,0.2225,0.1556,0.3
56,0.692585,0.243490,127,2.1017,6.0828,126,0.7698,0.4913,0.3
62,0.672426,0.256510,135,2.0923,6.0828,128,0.8125,0.5020,0.4
69,0.677466,0.248698,125,2.1410,5.9161,100,0.8100,0.5445,0.4
77,0.678906,0.262587,117,2.2740,5.8310,129,0.7752,0.5151,0.4
86,0.671706,0.270399,113,2.3480,4.7958,125,0.7840,0.5240,0.5
96,0.665947,0.280382,115,2.3701,5.0990,129,0.8062,0.5283,0.6
107,0.666667,0.293403,106,2.5253,5.4772,161,0.8509,0.5419,0.6
119,0.637149,0.301215,103,2.5957,6.2450,143,0.8462,0.5531,0.7
133,0.646508,0.308160,106,2.5881,6.3246,131,0.8397,0.5668,0.7
148,0.634269,0.321181,87,2.9165,6.4807,147,0.8707,0.5667,0.8
165,0.640029,0.324219,85,2.9645,6.2450,130,0.8077,0.5538,0.9
184,0.632109,0.340712,80,3.1325,7.8102,144,0.8333,0.5656,0.9
206,0.617711,0.339410,71,3.3187,8.8882,119,0.9160,0.5777,1.0
230,0.647948,0.344184,78,3.1885,7.6811,151,0.8543,0.5619,1.1
257,0.614111,0.346354,76,3.2404,6.9282,152,0.8816,0.5799,1.2
287,0.617711,0.353733,71,3.3880,8.1240,160,0.8250,0.5641,1.3
321,0.616271,0.363281,70,3.4579,7.3485,173,0.9017,0.5604,1.4
359,0.614111,0.367188,58,3.8192,8.4853,164,0.8598,0.5649,1.5
402,0.606192,0.371528,53,4.0188,8.6603,168,0.9107,0.5756,1.6
450,0.616271,0.374132,60,3.7903,8.6603,164,0.8598,0.5689,1.7
504,0.604032,0.380642,50,4.1881,8.6603,175,0.8629,0.5669,1.9
564,0.594672,0.378038,54,4.0162,8.7178,154,0.9286,0.5795,2.1
631,0.555076,0.388021,51,4.1868,9.3274,180,0.8444,0.5567,2.3
706,0.557235,0.406250,41,4.7780,13.2288,209,0.8756,0.5433,2.6
790,0.557955,0.393229,46,4.4380,10.1980,166,0.8976,0.5566,2.9
884,0.542837,0.398003,39,4.8490,9.1104,202,0.8911,0.5473,3.2
990,0.542837,0.407986,41,4.7882,9.3808,198,0.8333,0.5583,3.6
1108,0.515479,0.418403,30,5.6686,12.7279,197,0.9137,0.5607,4.0
1240,0.516919,0.414497,36,5.1505,9.9499,186,0.8871,0.5312,4.4
1388,0.512599,0.418837,34,5.3275,10.5357,208,0.8365,0.5238,4.8
1554,0.498200,0.411024,36,5.1289,9.9499,184,0.8750,0.5380,5.2
1740,0.534197,0.418837,33,5.4076,11.2694,206,0.8107,0.5075,5.7
1948,0.493161,0.426215,30,5.7213,16.0000,236,0.8136,0.5102,6.3
2200,0.521238,0.436632,26,6.2203,13.6382,256,0.7578,0.5131,7.1
2600,0.474442,0.447917,19,7.3699,16.0000,277,0.8087,0.5282,8.0
3000,0.474442,0.458333,20,7.2664,13.8564,245,0.8041,0.5071,9.1
3400,0.470122,0.452691,21,7.0475,17.1464,239,0.8159,0.5077,10.7
4000,0.442045,0.459201,21,7.0980,11.7047,238,0.7773,0.5101,12.5
4600,0.446364,0.466580,15,8.4656,19.7231,246,0.7724,0.4772,13.9
5200,0.419726,0.473958,16,8.2614,13.0000,254,0.8465,0.4852,15.4
6000,0.430526,0.482639,12,9.6264,17.4642,261,0.7548,0.4705,17.8
6800,0.395968,0.480903,16,8.3217,14.2829,235,0.8000,0.4670,20.0
7800,0.426926,0.478299,17,8.0513,11.5326,229,0.7249,0.4432,22.2
8800,0.401728,0.490017,10,10.6254,22.5167,233,0.7854,0.4616,24.8
10000,0.398848,0.486111,12,9.6609,13.0767,248,0.7460,0.4476,28.1
11400,0.393089,0.486111,14,8.9443,14.2127,234,0.7521,0.4566,32.2
12800,0.397408,0.488281,15,8.6603,15.0000,253,0.7273,0.4464,36.5
14400,0.347732,0.496094,10,10.6911,18.2483,262,0.7137,0.4365,40.1
16200,0.360691,0.500434,10,10.7378,21.0950,241,0.6929,0.4031,44.5
18200,0.354932,0.505208,10,10.7889,19.7231,236,0.7119,0.3994,49.1
20400,0.349172,0.506944,11,10.3045,14.5945,241,0.6763,0.3952,53.9
23000,0.337653,0.508247,9,11.4066,22.2711,256,0.6758,0.4113,59.4
25800,0.326854,0.506510,11,10.3000,22.2711,245,0.6204,0.3808,65.7
29000,0.339093,0.506944,13,9.4787,14.4568,226,0.6372,0.3894,72.2
32600,0.331174,0.512153,8,12.1450,23.1733,279,0.6022,0.3751,79.1
36600,0.326134,0.510417,9,11.4310,18.7350,305,0.6000,0.3775,89.9
41000,0.324694,0.514323,6,14.0535,19.4165,312,0.5353,0.3671,102.4
46000,0.314615,0.515625,7,13.0274,23.8537,237,0.5781,0.3565,114.8
51600,0.295896,0.529514,5,15.6205,22.6936,224,0.7589,0.3549,127.7
57800,0.294456,0.527778,5,15.5949,23.0434,285,0.5719,0.3560,142.3
60000,0.291577,0.526910,6,14.2244,24.2074,196,0.6786,0.3357,147.0
