t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.692638,0.064236,101,1.2105,3.0000,148,nan,nan,0.0
50,0.682630,0.239149,133,2.0354,4.6904,485,0.2763,0.2074,0.3
56,0.661187,0.247396,121,2.1704,5.0990,127,0.8661,0.5358,0.4
62,0.669049,0.252170,122,2.1823,4.5826,106,0.8396,0.5066,0.4
69,0.673338,0.252170,118,2.2189,5.4772,108,0.8056,0.5167,0.5
77,0.675482,0.274740,119,2.3064,6.0828,164,0.7744,0.5116,0.5
86,0.660472,0.271267,110,2.3837,6.3246,121,0.8843,0.5517,0.6
96,0.644031,0.276910,109,2.4193,6.5574,128,0.7812,0.5336,0.6
107,0.637598,0.288194,91,2.7012,6.7082,132,0.8788,0.5068,0.7
119,0.606862,0.302083,82,2.9134,7.0000,118,0.8475,0.5144,0.8
133,0.634024,0.300781,90,2.7749,8.2462,112,0.8393,0.5205,0.9
148,0.622588,0.303819,83,2.9041,7.8740,144,0.8611,0.5316,1.0
165,0.622588,0.318142,81,3.0082,6.5574,141,0.8369,0.5426,1.0
184,0.603288,0.317274,82,2.9857,8.0623,139,0.8417,0.5594,1.1
206,0.616154,0.332031,67,3.3790,8.0000,166,0.8554,0.5373,1.2
230,0.609006,0.346788,64,3.5333,7.1414,169,0.8876,0.5441,1.2
257,0.604003,0.345052,73,3.3001,7.3485,134,0.8582,0.5545,1.3
287,0.601144,0.352865,70,3.4080,8.7750,177,0.8644,0.5692,1.4
321,0.593996,0.357639,65,3.5605,7.2801,144,0.9028,0.5594,1.5
359,0.606862,0.358073,65,3.5626,8.3666,173,0.8266,0.5633,1.6
402,0.587563,0.373698,52,4.0691,8.8882,201,0.8458,0.5483,1.8
450,0.570407,0.384115,52,4.1254,9.8489,190,0.8526,0.5537,2.0
504,0.560400,0.380642,51,4.1468,9.7980,161,0.8882,0.5587,2.1
564,0.577555,0.387153,47,4.3565,11.4018,167,0.8743,0.5395,2.2
631,0.568978,0.404514,44,4.6024,9.7468,190,0.8579,0.5642,2.4
706,0.544675,0.400174,47,4.4291,9.0554,169,0.9053,0.5672,2.6
790,0.546104,0.396267,44,4.5552,9.2736,171,0.9006,0.5594,2.7
884,0.551823,0.419705,36,5.1828,12.6095,222,0.8694,0.5523,3.0
990,0.553967,0.417969,41,4.8464,9.9499,176,0.8977,0.5847,3.2
1108,0.524660,0.428819,33,5.4717,9.9499,212,0.8679,0.5554,3.5
1240,0.533238,0.428385,35,5.3104,10.3441,176,0.8920,0.5514,3.8
1388,0.495354,0.433594,32,5.5874,10.5830,201,0.8557,0.5393,4.2
1554,0.504646,0.431424,29,5.8546,11.4455,219,0.8630,0.5283,4.6
1740,0.502502,0.436198,30,5.7879,11.9164,214,0.8738,0.5332,5.1
1948,0.477484,0.437500,24,6.4807,12.4499,204,0.8382,0.5179,5.7
2200,0.467477,0.444878,20,7.1589,22.1359,223,0.8206,0.4906,6.5
2600,0.452466,0.450087,18,7.5902,14.0712,234,0.8590,0.4942,7.9
3000,0.438885,0.453559,20,7.2284,14.3178,228,0.8684,0.5096,9.3
3400,0.420300,0.453125,20,7.2250,13.0384,231,0.8052,0.4792,10.3
4000,0.427448,0.476997,16,8.2878,19.6214,267,0.7828,0.4708,11.8
4600,0.433167,0.482205,12,9.6220,20.6640,255,0.7373,0.4767,13.1
5200,0.422445,0.469184,15,8.4892,16.2173,205,0.8195,0.4859,14.4
6000,0.392423,0.483073,14,8.9163,14.0712,275,0.7345,0.4638,16.1
6800,0.394568,0.485243,13,9.2736,16.1555,251,0.7928,0.4432,18.1
7800,0.398856,0.496962,13,9.3849,13.8203,262,0.7366,0.4382,20.4
8800,0.374553,0.506510,11,10.3000,16.0000,230,0.7870,0.4670,22.9
10000,0.369550,0.494358,12,9.7425,20.6882,222,0.7297,0.4417,26.4
11400,0.365976,0.503906,11,10.2735,13.8924,239,0.7364,0.4052,30.3
12800,0.354539,0.504340,8,12.0520,20.8087,207,0.7729,0.4123,34.5
14400,0.358828,0.510851,11,10.3441,14.9666,255,0.6902,0.4057,39.1
16200,0.340958,0.516493,8,12.1963,22.6936,273,0.6777,0.4179,44.5
18200,0.348106,0.512587,11,10.3616,17.8606,243,0.6955,0.3899,50.5
20400,0.334525,0.511285,9,11.4407,25.6320,238,0.6891,0.4015,56.2
23000,0.322373,0.514757,7,13.0165,16.7929,250,0.7040,0.3924,61.9
25800,0.300929,0.514323,9,11.4746,17.4069,228,0.6930,0.3697,67.4
29000,0.290922,0.530816,8,12.3643,17.0587,231,0.6277,0.3554,74.1
32600,0.283059,0.530382,6,14.2712,28.7750,236,0.6525,0.3612,80.9
36600,0.275911,0.535156,6,14.3353,22.2261,213,0.6432,0.3397,91.1
41000,0.290922,0.536024,5,15.7162,26.3249,213,0.5962,0.3230,103.3
46000,0.278056,0.548177,3,20.5183,25.6905,272,0.5588,0.3300,115.1
51600,0.260901,0.551649,2,25.2091,31.4960,225,0.5911,0.3347,128.8
57800,0.274482,0.546441,1,35.4824,35.4824,215,0.6140,0.3109,143.1
60000,0.251608,0.543837,2,25.0300,25.3574,182,0.7253,0.3198,147.4
