t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.697436,0.051649,75,1.2596,2.6458,119,nan,nan,0.0
50,0.633700,0.147569,120,1.6833,3.7417,304,0.2138,0.1600,0.3
56,0.605128,0.153646,125,1.6829,3.8730,138,0.6377,0.3507,0.3
62,0.616117,0.146267,136,1.5741,4.0000,121,0.5372,0.3698,0.4
69,0.621245,0.142795,120,1.6558,4.3589,115,0.6261,0.3596,0.4
77,0.600000,0.154948,131,1.6508,4.3589,144,0.5903,0.3625,0.4
86,0.638828,0.149306,134,1.6022,4.1231,139,0.6043,0.3888,0.4
96,0.615385,0.155816,131,1.6554,4.5826,174,0.5862,0.3647,0.5
107,0.626374,0.165365,142,1.6380,4.5826,180,0.5500,0.3778,0.5
119,0.646154,0.161024,132,1.6765,4.1231,165,0.6485,0.4030,0.6
133,0.660073,0.173611,123,1.8033,4.2426,190,0.6526,0.3932,0.6
148,0.625641,0.170573,115,1.8486,4.0000,166,0.5843,0.4033,0.7
165,0.634432,0.187934,129,1.8321,4.3589,211,0.5877,0.3874,0.7
184,0.641758,0.196615,134,1.8386,4.2426,196,0.6020,0.4332,0.8
206,0.632967,0.197483,120,1.9472,5.1962,177,0.6893,0.4548,0.8
230,0.637363,0.194878,112,2.0022,4.8990,189,0.6561,0.4513,0.9
257,0.639560,0.191840,129,1.8510,4.1231,187,0.6043,0.4291,1.0
287,0.619780,0.196615,119,1.9511,4.2426,218,0.6193,0.4294,1.1
321,0.614652,0.194444,119,1.9403,4.3589,215,0.6140,0.4314,1.2
359,0.609524,0.201823,110,2.0560,4.0000,244,0.6352,0.4160,1.3
402,0.629304,0.207899,116,2.0321,5.2915,230,0.6130,0.4246,1.5
450,0.638828,0.203993,125,1.9391,4.3589,233,0.6309,0.4494,1.6
504,0.627106,0.211806,131,1.9301,4.1231,270,0.5852,0.4522,1.8
564,0.670330,0.204427,125,1.9411,3.7417,268,0.6045,0.4528,2.1
631,0.641026,0.198785,133,1.8557,5.5678,292,0.5445,0.4409,2.3
706,0.641026,0.206163,126,1.9416,4.0000,295,0.5390,0.4437,2.6
790,0.636630,0.211806,104,2.1662,4.4721,289,0.6055,0.4542,2.8
884,0.644689,0.207465,126,1.9477,5.0990,279,0.5663,0.4392,3.1
990,0.630037,0.212674,120,2.0207,4.6904,309,0.5825,0.4505,3.4
1108,0.594872,0.213976,117,2.0527,5.9161,301,0.5382,0.4590,4.0
1240,0.629304,0.211372,123,1.9898,4.7958,291,0.6220,0.4436,4.4
1388,0.621978,0.211806,127,1.9602,5.6569,309,0.5243,0.4511,4.8
1554,0.623443,0.216146,124,2.0040,5.1962,314,0.5414,0.4567,5.2
1740,0.616850,0.224392,120,2.0757,5.5678,314,0.5764,0.4666,5.7
1948,0.641026,0.226562,116,2.1213,4.7958,322,0.5901,0.4722,6.2
2200,0.613187,0.218316,113,2.1098,4.6904,341,0.5425,0.4842,6.8
2600,0.656410,0.220920,124,2.0260,5.1962,351,0.5556,0.4496,7.9
3000,0.640293,0.219618,117,2.0796,5.1962,337,0.5134,0.4616,8.8
3400,0.632967,0.231771,109,2.2134,5.4772,374,0.4866,0.4684,10.6
4000,0.641758,0.228299,121,2.0850,5.1962,343,0.5160,0.4672,12.5
4600,0.619048,0.234375,114,2.1764,5.6569,375,0.5333,0.4741,14.6
5200,0.638828,0.234375,113,2.1860,5.9161,370,0.5243,0.4769,17.4
6000,0.631502,0.221788,116,2.0989,5.6569,388,0.4665,0.4747,20.3
6800,0.597070,0.233073,109,2.2196,5.5678,391,0.4578,0.4632,22.1
7800,0.638828,0.239149,117,2.1701,5.9161,387,0.4677,0.4651,24.8
8800,0.623443,0.232205,122,2.0941,6.0828,389,0.5013,0.4807,28.4
10000,0.623443,0.238281,116,2.1755,5.7446,398,0.5050,0.4823,32.3
11400,0.616850,0.237847,91,2.4540,5.4772,396,0.4874,0.4662,36.1
12800,0.632967,0.249566,100,2.3979,5.6569,434,0.4194,0.4340,40.3
14400,0.627839,0.243056,90,2.4944,5.9161,396,0.5253,0.4819,44.8
16200,0.636630,0.244358,109,2.2727,7.0000,403,0.5037,0.4603,50.8
18200,0.597802,0.239583,101,2.3378,7.2801,407,0.4840,0.4663,55.8
20400,0.635897,0.247396,101,2.3756,8.0623,402,0.4428,0.4549,61.4
23000,0.622711,0.224392,109,2.1779,6.8557,361,0.4792,0.4856,69.1
25800,0.617582,0.234375,99,2.3355,7.7460,411,0.4842,0.4431,76.4
29000,0.605128,0.229167,102,2.2752,6.8557,393,0.4529,0.4466,84.5
32600,0.623443,0.241319,109,2.2585,6.4807,416,0.4255,0.4483,95.2
36600,0.595604,0.227865,99,2.3028,6.4031,363,0.5289,0.4895,107.3
41000,0.596337,0.244358,96,2.4217,8.3066,450,0.4222,0.4334,120.7
46000,0.641758,0.234809,102,2.3030,6.7823,395,0.4861,0.4648,135.3
51600,0.629304,0.242188,109,2.2626,6.2450,414,0.4396,0.4552,150.6
57800,0.633700,0.246528,98,2.4075,7.8740,417,0.4964,0.4845,168.9
64800,0.610989,0.242622,103,2.3296,9.3274,401,0.5112,0.4628,186.6
72600,0.650549,0.241319,109,2.2585,7.4162,426,0.4131,0.4425,206.1
81400,0.615385,0.249132,96,2.4452,6.7082,425,0.4871,0.4788,229.5
91200,0.621245,0.241319,109,2.2585,7.6158,413,0.4625,0.4690,253.6
100000,0.609524,0.242622,101,2.3526,8.0000,409,0.4817,0.4600,277.5
